choraleNumber,voiceType,amountOFArpeggiation,averageMelodicInterval,averageNumberOfIndependentVoices,durationOfMelodicArcs,repeatedNotes,melodicTempiFullChorale,rangeFullChorale,stepwiseMinusChromaticFull,majorMinusMinorFull,dissonantChordsFull
153, W,0.305418719,2.586206897,1,8.523809524,0.093596059,0.528420359,1.933132011,0.374384236,0.171052632,0.618421053
154, W,0.290575916,2.157068063,1,21.41176471,0.141361257,-1.777874779,2.039496359,0.376963351,0.215189873,0.481012658
155, W,0.327586207,2.511494253,1,11.14285714,0.143678161,-0.821353421,1.101974938,0.33908046,0.238095238,0.587301587
156, W,0.318681319,2.087912088,1,6.458333333,0.175824176,-0.44307561,-0.363391503,0.373626374,0.382352941,0.617647059
157, W,0.352173913,1.926086957,1,13.93333333,0.256521739,-0.479322633,0.877441968,0.308695652,0.126582278,0.53164557
158, W,0.26171875,2.15625,1,15,0.11328125,1.145753296,0.125063977,0.41796875,0.207920792,0.564356436
159, W,0.310756972,2.035856574,1,16.92857143,0.195219124,0.045814067,2.527951839,0.358565737,0.247311828,0.548387097
160, W,0.286842105,2.128947368,1,33.36363636,0.163157895,-0.770430218,1.85435293,0.402631579,0.155844156,0.532467532
161, W,0.308641975,2.024691358,1,9.333333333,0.197530864,-0.640504365,-2.053290915,0.388888889,0.413793103,0.620689655
162, W,0.298578199,2.218009479,1,17.81818182,0.170616114,0.108229469,2.34280841,0.383886256,0.291666667,0.458333333
163, W,0.244131455,2.136150235,1,15.30769231,0.126760563,0.192577778,0.046284896,0.384976526,-0.014285714,0.585714286
164, W,0.252136752,2.230769231,1,14.2,0.145299145,1.042430071,1.062585398,0.414529915,0.055555556,0.455555556
165, W,0.261029412,2.055147059,1,12.94736842,0.161764706,-0.160902171,0.613519458,0.408088235,0.130434783,0.586956522
166, W,0.24137931,2.093596059,1,14.38461538,0.137931034,-0.235982321,-1.155159036,0.428571429,-0.055555556,0.527777778
167, W,0.269035533,2.07106599,1,6.076923077,0.152284264,1.101164292,1.814963389,0.360406091,0.044776119,0.492537313
